"Email Config","Email Config"
"Apply For Customer Groups","Apply For Customer Groups"
"New Company Account","New Company Account"
"Be Remove Company Account","Be Remove Company Account"
"Sub User Invitation","Sub User Invitation"
"Joined Sub User Notification","Joined Sub User Notification"
"If you are a company representative, use this feature to be able to manage subaccounts and other B2B features.","If you are a company representative, use this feature to be able to manage subaccounts and other B2B features."
"Apply For Customer Groups","Apply For Customer Groups"
"Notification","This is JS Test"
"No group is selecting.","No group is selecting."
"Applying ...","Applying ..."
"Success!","Success!"
"Manage Sub User","Manage Sub User"
"Manage Roles and Permissions","Manage Roles and Permissions"
"Add New Sub User","Add New Sub User"

